heart rate,temperature,time
1654292771584,0,25.75
1654292772837,0,25.73
1654292774072,0,25.79
1654292775320,0,25.67
1654292776557,0,25.69
1654292777805,98,25.75
1654292779035,97,25.79
1654292780282,97,25.73
1654292781512,97,25.79
1654292782757,98,25.73
1654292783994,101,25.73
1654292785235,102,26.79
1654292786468,93,25.01
1654292787793,84,24.95
1654292789123,84,24.93
1654292790468,84,24.95
1654292791716,83,24.83
1654292792916,101,25.67
1654292794104,101,25.35
1654292795302,102,25.99
1654292796488,103,26.03
1654292797685,103,26.03
1654292798872,100,25.93
1654292800070,98,25.91
1654292801254,95,25.97
1654292802446,90,25.93
1654292803627,87,25.99
1654292804820,84,25.97
1654292806004,84,25.05
1654292807199,85,24.93
1654292808385,82,24.93
1654292809580,82,24.87
1654292810763,82,24.87
1654292811958,80,24.89
1654292813141,81,24.93
1654292814338,82,25.23
1654292815519,82,25.31
1654292816716,74,25.29
1654292817900,74,25.29
1654292819100,73,25.35
1654292820285,72,25.37
1654292821487,72,25.35
1654292822669,82,25.43
1654292823862,84,25.49
1654292825044,87,25.19
1654292826242,90,24.89
1654292827426,90,24.81
1654292828624,90,24.83
1654292829808,90,24.87
1654292831002,90,24.75
1654292832188,92,24.71
1654292833384,94,24.71
1654292834564,95,28.75
1654292835761,97,31.19
1654292836942,99,31.53
1654292838140,98,31.57
1654292839319,96,31.97
1654292840516,96,32.27
1654292841698,96,31.99
1654292842893,97,30.71
1654292844077,98,30.43
1654292845273,101,28.05
1654292846458,102,27.75
1654292847654,103,27.79
1654292848834,103,27.75
1654292850029,103,27.55
1654292851213,101,27.41
1654292852408,99,27.43
1654292853589,98,27.31
1654292854786,97,27.31
1654292855978,97,27.37
1654292857171,93,27.35
1654292858351,90,27.23
1654292859548,89,27.29
1654292860733,87,27.17
1654292861929,85,27.15
1654292863112,87,27.21
1654292864305,91,27.15
1654292865494,93,27.21
1654292866693,89,27.25
1654292867874,87,27.31
1654292869072,83,27.23
1654292870254,80,27.17
1654292871452,77,27.21
1654292872635,76,27.21
1654292873827,77,27.23
1654292875006,81,27.37
1654292876201,84,27.41
1654292877390,86,27.47
1654292878587,87,27.63
1654292879768,86,27.59
1654292880962,77,27.41
1654292882145,77,27.35
1654292883343,72,27.37
1654292884522,72,27.37
1654292885719,71,27.31
1654292886906,71,27.37
1654292888099,80,27.43
1654292889282,87,27.59
1654292890480,86,27.49
1654292891668,89,27.41
1654292892859,90,27.37
1654292894042,91,27.35
1654292895234,93,27.25
1654292896422,95,27.31
1654292897619,95,27.35
1654292898805,98,27.31
1654292899999,98,27.25
1654292901184,95,27.29
1654292902381,93,27.23
1654292903565,94,27.21
1654292904763,94,27.29
1654292905942,95,27.37
1654292907149,98,27.41
1654292908337,99,27.49
1654292909535,92,27.43
1654292910714,89,27.31
1654292911910,87,27.41
1654292913091,85,27.41
1654292914284,85,27.29
1654292915469,86,27.35
1654292916666,90,27.41
1654292917845,89,27.31
1654292919040,88,27.29
1654292920224,87,27.37
1654292921421,86,27.47
1654292922604,87,27.47
1654292923799,90,27.35
1654292924983,93,27.41
1654292926181,91,27.35
1654292927363,88,27.53
1654292928559,86,27.93
1654292929746,82,27.95
1654292930950,79,27.85
1654292932149,79,27.73
1654292933351,82,27.85
1654292934537,85,27.69
1654292935729,88,27.67
1654292936910,89,27.75
1654292938111,89,27.67
1654292939296,89,27.73
1654292940495,88,27.73
1654292941684,88,27.69
1654292942879,87,27.75
1654292944060,87,27.75
1654292945257,87,27.69
1654292946439,87,27.75
1654292947633,88,27.79
1654292948812,88,27.73
1654292950012,89,27.29
1654292951193,90,27.31
1654292952403,94,27.47
1654292953584,96,27.55
1654292954776,100,27.59
1654292955961,103,27.37
1654292957159,103,27.41
1654292958342,105,27.59
1654292959538,107,27.49
1654292960738,108,27.55
1654292961940,109,27.63
1654292963123,106,27.43
1654292964327,102,27.29
1654292965511,89,27.47
1654292966704,87,27.35
1654292967884,88,27.61
1654292969082,89,27.63
1654292970268,90,27.69
1654292971463,103,27.91
1654292972647,102,27.95
